image,caption,labels,scores
dataset_images/Performancias/01 10 de marzo /03.jpg,a woman is kneeling on the floor with a knife,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/01 10 de marzo /02.jpg,a man in a white shirt and tie is standing next to a woman,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/01 10 de marzo /05.jpg,a man in a white shirt and a white sheet,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/01 10 de marzo /04.jpg,two people are doing karate in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/019A Ambulancia /01.jpg,a man with a lit candle in his hand,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/019A Ambulancia /03.jpg,a man with a cigarette in his mouth,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/019A Ambulancia /02.jpg,a man with a cigarette in his mouth,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/023A Caudillo con bebe/01.jpg,a man holding a heart shaped chocolate heart,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/023A Caudillo con bebe/02.jpg,a man holding a human heart in a kitchen,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/020 Asfalto /010.jpg,a toy truck with a pink truck and a pink truck,inocencia profanada,{'inocencia profanada': 1}
dataset_images/Performancias/020 Asfalto /01.jpg,a man walking down a road with a backpack,geografía de la huida,{'geografía de la huida': 2}
dataset_images/Performancias/020 Asfalto /03.jpg,a man kneeling down on the side of a road,geografía de la huida,{'geografía de la huida': 1}
dataset_images/Performancias/020 Asfalto /02.jpg,a man kneeling down to pick up trash on the side of the road,arquitectura del desecho; geografía de la huida,"{'arquitectura del desecho': 1, 'geografía de la huida': 1}"
dataset_images/Performancias/020 Asfalto /06.jpg,a man is picking up a toy car,inocencia profanada,{'inocencia profanada': 1}
dataset_images/Performancias/020 Asfalto /07.jpg,a man kneeling down on the ground to pick up trash,arquitectura del desecho,{'arquitectura del desecho': 1}
dataset_images/Performancias/020 Asfalto /05.jpg,a bunch of colorful toy cars on the side of a road,geografía de la huida; inocencia profanada,"{'geografía de la huida': 1, 'inocencia profanada': 1}"
dataset_images/Performancias/020 Asfalto /04.jpg,a man kneeling down to pick up a flower,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/020 Asfalto /09.jpg,a bunch of flowers and a bunch of candy on the ground,limbo profanado,{}
dataset_images/Performancias/020 Asfalto /08.jpg,a man is putting a toy car into the ground,inocencia profanada,{'inocencia profanada': 1}
dataset_images/Performancias/024 Corona de miedo /01.jpg,a man with a bunch of different colored objects on his head,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/023D Caudillo con machete /01.jpg,a man in a white shirt and tie,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/03 Acciones individuales /010.jpg,a man standing in an open doorway with graffiti on the walls,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/03 Acciones individuales /01.jpg,a man writing on a wall with writing on it,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/03 Acciones individuales /03.jpg,a man standing in front of a wall with writing on it,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/03 Acciones individuales /02.jpg,a woman writing on a wall with a pen,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/03 Acciones individuales /06.jpg,a book with writing on it,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/03 Acciones individuales /07.jpg,a piece of paper with writing on it,topografía del grito; cartografía lacerada,"{'topografía del grito': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/03 Acciones individuales /05.jpg,a wall with writing on it,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/03 Acciones individuales /04.jpg,a woman standing in front of a wall with writing on it,topografía del grito,{'topografía del grito': 2}
dataset_images/Performancias/03 Acciones individuales /09.jpg,a close up of a handwriting on a white background,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/03 Acciones individuales /08.jpg,a piece of paper with writing on it,topografía del grito; cartografía lacerada,"{'topografía del grito': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /010.jpg,two people standing in a room with newspaper on the floor,anomía habitacional; cartografía lacerada,"{'anomía habitacional': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /011.jpg,a man is standing in front of a wall covered with newspapers,topografía del grito; cartografía lacerada,"{'topografía del grito': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /013.jpg,a newspaper with a bunch of papers on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Performancias/02 12 de marzo /012.jpg,a man standing in front of a wall covered with newspapers,topografía del grito; cartografía lacerada,"{'topografía del grito': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /01.jpg,a man is standing on a ladder in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/02 12 de marzo /03.jpg,a room with many newspapers on the walls,anomía habitacional; topografía del grito; cartografía lacerada,"{'anomía habitacional': 1, 'topografía del grito': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /02.jpg,a man kneeling on the floor in front of a wall covered with newspaper,topografía del grito; cartografía lacerada,"{'topografía del grito': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /06.jpg,a room with many papers on the walls,anomía habitacional; topografía del grito; cartografía lacerada,"{'anomía habitacional': 1, 'topografía del grito': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /07.jpg,a room with many pieces of paper on the floor,anomía habitacional; cartografía lacerada,"{'anomía habitacional': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /05.jpg,a piece of newspaper with a bunch of flowers on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Performancias/02 12 de marzo /04.jpg,a room with newspapers on the floor,anomía habitacional; cartografía lacerada,"{'anomía habitacional': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /09.jpg,a room with newspaper on the wall,anomía habitacional; topografía del grito; cartografía lacerada,"{'anomía habitacional': 1, 'topografía del grito': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/02 12 de marzo /08.jpg,a room with a large pile of newspapers,arquitectura del desecho; anomía habitacional; cartografía lacerada,"{'arquitectura del desecho': 1, 'anomía habitacional': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/014 Patria /016.jpg,a box with a light inside it,limbo profanado,{}
dataset_images/Performancias/014 Patria /015.jpg,a chair is sitting on a wall with a shadow,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/014 Patria /014.jpg,a white wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/014 Patria /010.jpg,a man is hanging a light on a pole,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/014 Patria /011.jpg,a man is kneeling down on the floor,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/014 Patria /013.jpg,a man is doing a trick on a pole,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/014 Patria /012.jpg,a man is bending a woman ' s head,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/014 Patria /01.jpg,a man is sitting on the floor and writing on a box,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/014 Patria /03.jpg,a man is sitting in a ham ham on a ham,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/014 Patria /02.jpg,a group of people sitting in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/014 Patria /06.jpg,a man laying on the floor,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/014 Patria /07.jpg,a man is standing on a chair and holding a rope,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/014 Patria /05.jpg,a man and woman are sitting on a swing,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/014 Patria /04.jpg,a chair with a white sheet covering it,limbo profanado,{}
dataset_images/Performancias/014 Patria /09.jpg,a man is hanging on a rope in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/014 Patria /08.jpg,a man standing in front of a white wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/012A Mugre UN /01.jpg,a circular floor with a clock on it,limbo profanado,{}
dataset_images/Performancias/012A Mugre UN /03.jpg,a man in a white shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/012A Mugre UN /02.jpg,a black and white floor,limbo profanado,{}
dataset_images/Performancias/012A Mugre UN /06.jpg,a man is throwing a blue umbrella,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/012A Mugre UN /07.jpg,a man is laying on the floor,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/012A Mugre UN /05.jpg,a man with a hose in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/012A Mugre UN /11.jpg,a man and a woman painting a wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/012A Mugre UN /10.jpg,a man is painting a large piece of art,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Performancias/012A Mugre UN /04.jpg,a man cleaning a room with a mop,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/012A Mugre UN /09.jpg,a man in a white shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/012A Mugre UN /08.jpg,a man is dancing in a room with people,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/022 Casita de arroz /01.jpg,a blue building with a bench in front of it,limbo profanado,{}
dataset_images/Performancias/022 Casita de arroz /03.jpg,a man holding a piece of food in his hand,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/022 Casita de arroz /02.jpg,a man sitting on a bench,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/022 Casita de arroz /06.jpg,a snow sculpture of a man and a woman,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/022 Casita de arroz /05.jpg,a man holding a handful of white flowers,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/022 Casita de arroz /04.jpg,a man sitting down,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/09 morgue /01 img500.jpg,a row of beds in a hospital room,anomía habitacional,{'anomía habitacional': 2}
dataset_images/Performancias/09 morgue /04 img499.jpg,a piece of meat on a table,limbo profanado,{}
dataset_images/Performancias/09 morgue /03 img504.jpg,a man is putting a black cow in a stall,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/09 morgue /05 img501.jpg,a fish on a table,limbo profanado,{}
dataset_images/Performancias/09 morgue /02 img506.jpg,a black table cloth on a white table,limbo profanado,{}
dataset_images/Performancias/017 Precedentes /01.jpg,a drawing of a man standing on a ledge,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/017 Precedentes /03.jpg,a drawing of a black and white image of a building,limbo profanado,{}
dataset_images/Performancias/017 Precedentes /02.jpg,a drawing of a man with a knife,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/017 Precedentes /04.jpg,a drawing of a man with a black and white stripe on his shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/028 Invierno infierno /01.jpg,a man kneeling in a muddy puddle,ancestralidad de fango,{'ancestralidad de fango': 1}
dataset_images/Performancias/028 Invierno infierno /03.jpg,a man carrying a large piece of metal,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/028 Invierno infierno /02.jpg,a man is putting mud into a square,ancestralidad de fango,{'ancestralidad de fango': 1}
dataset_images/Performancias/030 Piedra /01.jpg,a man laying down with a hot hot object on his head,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/034 La pobreza me emputa /010.jpg,a banana that is sitting on the ground,limbo profanado,{}
dataset_images/Performancias/034 La pobreza me emputa /011.jpg,a banner that reads laorezmenta on a brick wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/034 La pobreza me emputa /013.jpg,a banner that reads ' stop and pray ' is hanging outside a building,limbo profanado,{}
dataset_images/Performancias/034 La pobreza me emputa /012.jpg,a broken tooth on a brick,fe lacerada,{'fe lacerada': 1}
dataset_images/Performancias/034 La pobreza me emputa /01.jpg,a cat is walking on the sidewalk in the snow,geografía de la huida,{'geografía de la huida': 1}
dataset_images/Performancias/034 La pobreza me emputa /03.jpg,a poster on the wall of a building in barcelona,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/034 La pobreza me emputa /02.jpg,a brick building with a sign that reads lagera empa,limbo profanado,{}
dataset_images/Performancias/034 La pobreza me emputa /06.jpg,a cat is sitting on a window ledge,limbo profanado,{}
dataset_images/Performancias/034 La pobreza me emputa /07.jpg,a woman laying on the ground,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/034 La pobreza me emputa /05.jpg,a woman with a white dress and a gold bracelet,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/034 La pobreza me emputa /04.jpg,a person with a white shirt and a gold glove,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/034 La pobreza me emputa /09.jpg,a person is laying on the ground with a broken shoe,fe lacerada,{'fe lacerada': 1}
dataset_images/Performancias/034 La pobreza me emputa /08.jpg,a person with a tattoo on their arm,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/019B Ambulancia II /01.jpg,a man with a fire on his head,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/019B Ambulancia II /03.jpg,a man with a bald head,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/019B Ambulancia II /02.jpg,a man with a burning hat on his head,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/032 Sur /01.jpg,a man holding a map of the world,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Performancias/032 Sur /02.jpg,a man in a white shirt is cutting a piece of fruit,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/029 Ola de algodón /01.jpg,a man wearing a blue and white striped mask,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/029 Ola de algodón /03.jpg,a man in a white shirt is holding a blue and white striped tie,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/029 Ola de algodón /02.jpg,a man with a blue and white striped face covering his face,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/029 Ola de algodón /04.jpg,a man in a white shirt holding a blue and white striped tie,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/033 Venus /01.jpg,a man walking down a dirt road,geografía de la huida; ancestralidad de fango,"{'ancestralidad de fango': 1, 'geografía de la huida': 2}"
dataset_images/Performancias/033 Venus /03.jpg,a person wearing a pair of black rain boots,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/033 Venus /02.jpg,a man standing on the side of a road,geografía de la huida,{'geografía de la huida': 1}
dataset_images/Performancias/06 Yagé /010.jpg,a black shirt hanging on a wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/06 Yagé /011.jpg,a knife and a knife on a table,limbo profanado,{}
dataset_images/Performancias/06 Yagé /012.jpg,a white pitcher on a table,limbo profanado,{}
dataset_images/Performancias/06 Yagé /01.jpg,a man in a black shirt and white hat throwing a frc,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Yagé /03.jpg,a man standing in a field with a fire,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Yagé /02.jpg,a man bending a bowl in the dirt,ancestralidad de fango,{'ancestralidad de fango': 1}
dataset_images/Performancias/06 Yagé /06.jpg,a man in a black shirt holding a book,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Yagé /07.jpg,a man in a black shirt holding a white froth,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Yagé /05.jpg,a man standing in a dirt field holding a cell,ancestralidad de fango,{'ancestralidad de fango': 1}
dataset_images/Performancias/06 Yagé /04.jpg,a man is playing soccer on a dirt field,ancestralidad de fango; inocencia profanada,"{'ancestralidad de fango': 1, 'inocencia profanada': 1}"
dataset_images/Performancias/06 Yagé /09.jpg,a person holding a piece of ice in their hand,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/06 Yagé /08.jpg,a man holding a white jug in a dirt field,ancestralidad de fango,{'ancestralidad de fango': 1}
dataset_images/Performancias/012B Mugre UN /01.jpg,a white room with a bunch of white paper,anomía habitacional; cartografía lacerada,"{'anomía habitacional': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/012B Mugre UN /03.jpg,a man and woman laying on the floor,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/012B Mugre UN /02.jpg,a man standing over a woman laying on the floor,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/012B Mugre UN /06.jpg,a man in a white shirt is hiding behind a pile of paper,arquitectura del desecho; cartografía lacerada,"{'arquitectura del desecho': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/012B Mugre UN /07.jpg,a person is laying on a bed covered in white sheets,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/012B Mugre UN /05.jpg,a man standing in front of a pile of paper,arquitectura del desecho; cartografía lacerada,"{'arquitectura del desecho': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/012B Mugre UN /04.jpg,a man is standing on a pile of paper,arquitectura del desecho; cartografía lacerada,"{'arquitectura del desecho': 1, 'cartografía lacerada': 1}"
dataset_images/Performancias/027Hombre coca /01.jpg,a man holding a cup in his hands,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/027Hombre coca /02.jpg,a man with a tree in his head,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /016.jpg,a flower that is laying on a table,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /017.jpg,a bunch of red roses on a table,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /015.jpg,a bunch of red roses on a table,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /014.jpg,a pizza with red roses on it,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /010.jpg,a bunch of red roses on a wooden table,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /011.jpg,a bunch of red roses on a wooden surface,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /013.jpg,a bunch of red roses on a table,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /012.jpg,a bunch of red roses on a wooden table,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /01.jpg,a man sitting on the steps,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /03.jpg,a man sitting on the steps,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /02.jpg,a man kneeling down on the ground with roses,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /06.jpg,a man sitting on the steps,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /07.jpg,a man sitting on the steps,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /05.jpg,a man sitting on the steps,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /04.jpg,a man in a white shirt,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /09.jpg,a bunch of red roses on a wooden table,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /08.jpg,a man kneeling down to lay flowers on the ground,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/011 Rose rose Río /020.jpg,a close up of a plate of food with a bunch of leaves,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /019.jpg,a bunch of red roses on a table,limbo profanado,{}
dataset_images/Performancias/011 Rose rose Río /018.jpg,a close up of a table with a bunch of red roses,limbo profanado,{}
dataset_images/Performancias/023B Caudillo con higuerilla /01.jpg,a man in a field of plants with a knife,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/023B Caudillo con higuerilla /03.jpg,a man sitting in a chair with a plant in his lap,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/023B Caudillo con higuerilla /02.jpg,a man sitting in a chair cutting a plant,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/023B Caudillo con higuerilla /04.jpg,a man holding a large plant in his hands,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/013B Arrozudo /01.jpg,a pink building,limbo profanado,{}
dataset_images/Performancias/013B Arrozudo /03.jpg,a person standing on a sidewalk with a skateboard,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/013B Arrozudo /02.jpg,a man is cutting a piece of pizza,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/013B Arrozudo /06.jpg,a group of people standing on the side of a road,geografía de la huida,{'geografía de la huida': 1}
